"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"learning-rate-sensitivity"
"11/02/2025 23:41:49:746 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"50","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.213247020185875","0","1.4313046419621694E-8"
"40","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.17568450875310454","0","7.41429804758704E-7"
"36","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.18296223844613058","0","1.096951215961017E-6"
"46","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.15724396343409147","0","1.419875866680868E-5"
"52","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.19326618459027534","0","1.6389995422259625E-6"
"30","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.20451588713689503","0","5.843965291509565E-7"
"53","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.1256558392618682","0","3.101188030823783E-5"
"51","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.18487843795605513","0","3.773703590947577E-6"
"55","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.1613822759112349","0","2.142988553174156E-6"
"45","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.18815325138937655","0","3.0873207826473617E-6"
"56","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.2005635006683381","0","2.4771666601295243E-7"
"54","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.19760492429593446","0","7.660971313728224E-7"
"47","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.17280722455137998","0","4.35707151256306E-6"
"42","200","6","5","small-world","false","0.2","0.15","0.5","0.15","3","10","true","200","false","600","600","1","0.18895956765871588","0","1.6232175248025364E-7"
"57","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.17751667396330717","0","8.067584403958263E-7"
"58","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.16600710624159926","0","1.4434180283491764E-6"
"48","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.19770372005631434","0","1.2430209183266365E-7"
"59","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.16705182094893622","0","1.5053054158543433E-6"
"68","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.1691149267513607","0","8.431353899939905E-8"
"64","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.16764951944504694","0","4.0670907702662134E-5"
"67","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.16732642732333652","0","1.3391737480197825E-6"
"62","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.18617521281347066","0","2.436481692661218E-7"
"61","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.17788680932066275","0","1.2553596768746472E-6"
"66","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.18140836680707825","0","3.3046838378432983E-7"
"71","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.1837218600199073","0","5.173209212698977E-7"
"70","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.16212407606626936","0","3.0123066618230223E-7"
"72","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.17605863593580243","0","1.3587559402993025E-7"
"74","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.16493481712770106","0","9.643938548498173E-7"
"65","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.20962162448562793","0","1.1970840423549018E-7"
"60","200","6","5","small-world","false","0.2","0.2","0.5","0.15","3","10","true","200","false","600","600","1","0.16866267023712248","0","5.397138618554747E-7"
"73","200","6","5","small-world","false","0.2","0.25","0.5","0.15","3","10","true","200","false","600","600","1","0.2016016542910629","0","9.27171682558834E-7"
"76","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.16504848518555534","0","6.829253989856706E-7"
"77","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.158892229508442","0","2.990581763847177E-7"
"78","200","6","5","small-world","false","0.2","0.3","0.5","0.15","3","10","true","200","false","600","600","1","0.17909997389813245","0","2.7597737653780705E-6"
