"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"verification-timing"
"11/02/2025 23:41:37:104 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","verified?","verification-tick"
"36","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.19813501724301585","0.19813501724301585","0","true","150"
"46","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1816355432098936","0.1816355432098936","0","true","200"
"42","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.1628890415414494","0.1628890415414494","0","true","150"
"43","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.17191081236311986","0.17191081236311986","0","true","150"
"37","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.17480858593285906","0.17480858593285906","0","true","150"
"39","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.17675293202420833","0.17675293202420833","0","true","150"
"40","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","150","false","600","600","1","0.17797356987246724","0.17797356987246724","0","true","150"
"47","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.16717246970057936","0.16717246970057936","0","true","200"
"49","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.18050542402333505","0.18050542402333505","0","true","200"
"52","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.1809372568780947","0.1809372568780947","0","true","200"
"54","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.14315626544948978","0.14315626544948978","0","true","200"
"51","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.17717951480497626","0.17717951480497626","0","true","200"
"53","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.20688723344777643","0.20688723344777643","0","true","200"
"64","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.18568007801571","0.18568007801571","0","true","300"
"59","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.17942927284981305","0.17942927284981305","0","true","200"
"56","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.17787958989842373","0.17787958989842373","0","true","200"
"66","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17835370910273085","0.17835370910273085","0","true","300"
"50","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.20778724429642348","0.20778724429642348","0","true","200"
"61","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17848749875089095","0.17848749875089095","0","true","300"
"60","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.18151028408759323","0.18151028408759323","0","true","200"
"62","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17820163419215684","0.17820163419215684","0","true","300"
"55","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.18159116286110838","0.18159116286110838","0","true","200"
"63","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.1963118724682314","0.1963118724682314","0","true","300"
"67","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17966132679402083","0.17966132679402083","0","true","300"
"58","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.16294084609542467","0.16294084609542467","0","true","200"
"65","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.20585579123705336","0.20585579123705336","0","true","300"
"57","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","200","false","600","600","1","0.16784922846519099","0.16784922846519099","0","true","200"
"69","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.16380783795052184","0.16380783795052184","0","true","300"
"72","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.175428125820971","0.175428125820971","0","true","300"
"70","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17266686320831362","0.17266686320831362","0","true","300"
"68","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17872755751650382","0.17872755751650382","0","true","300"
"71","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17563998440676845","0.17563998440676845","0","true","300"
"73","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.17295061043180465","0.17295061043180465","0","true","300"
"78","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.168421482308067","0.168421482308067","0","true","400"
"77","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.1662539626606251","0.1662539626606251","0","true","400"
"81","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.18716530570291906","0.18716530570291906","0","true","400"
"75","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.20021501435887123","0.20021501435887123","0","true","300"
"74","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","300","false","600","600","1","0.18338848828310944","0.18338848828310944","0","true","300"
"76","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.208649078363002","0.208649078363002","0","true","400"
"83","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.16706016812542945","0.16706016812542945","0","true","400"
"79","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.15533697554362044","0.15533697554362044","0","true","400"
"88","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.14536155678006674","0.14536155678006674","0","true","400"
"82","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.16447000409000936","0.16447000409000936","0","true","400"
"89","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.16266313868112928","0.16266313868112928","0","true","400"
"84","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.1718102719003442","0.1718102719003442","0","true","400"
"80","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.17122377207583706","0.17122377207583706","0","true","400"
"86","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.2145006914863772","0.2145006914863772","0","true","400"
"85","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.18359188456005168","0.18359188456005168","0","true","400"
"87","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.20822952692883095","0.20822952692883095","0","true","400"
"90","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","true","400","false","600","600","1","0.21725332092846183","0.21725332092846183","0","true","400"
