"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"false-vs-true-rumor"
"11/02/2025 23:40:55:253 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5]","variance [belief] of turtles","max [belief] of turtles","min [belief] of turtles with [rumor-known?]"
"34","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3196647859321665","0.3196647859321665","0","6.037464040046376E-5","0.34671974717552917","0.305577240492742"
"25","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.32898977983960015","0.32898977983960015","0","4.232958160682838E-7","0.3302348451201498","0.3270206000096585"
"30","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3544197411968877","0.3544197411968877","0","1.1540851548563963E-6","0.35720420613475434","0.35210063089247834"
"38","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3064921597913438","0.3064921597913438","0","3.357225658494742E-5","0.32856338494047166","0.29931556093763356"
"26","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3177484507932114","0.3177484507932114","0","8.927142834866152E-5","0.34036839898701693","0.2995590235197018"
"35","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.30237842416462074","0.30237842416462074","0","1.087965565856057E-6","0.30432943727002276","0.2996824977872449"
"33","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.39432099812060734","0.39432099812060734","0","1.6097309544387137E-8","0.3945631699106899","0.3940047732716342"
"37","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.44039029659816115","0.44039029659816115","0","6.987442779500455E-8","0.4412078492634458","0.44004271536491313"
"31","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3042267700155253","0.3042267700155253","0","1.2026720443832762E-6","0.30610168123139353","0.3006038400510479"
"28","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.44037655846268753","0.44037655846268753","0","4.864619186421406E-8","0.44080233291896137","0.43932898543894605"
"39","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.343225445767781","0.343225445767781","0","1.4023947542010385E-7","0.3447683675290681","0.34236316083742013"
"29","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3792348706410159","0.3792348706410159","0","7.57563194487095E-6","0.3922360024639957","0.3759687412409513"
"36","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3454767323803204","0.3454767323803204","0","2.3389115635193437E-6","0.3479766817565722","0.34181971068438133"
"32","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3278503711181848","0.3278503711181848","0","3.5125591309934334E-7","0.32884288359751385","0.32646465256413537"
"40","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.41147709103385255","0.41147709103385255","0","6.512212234023907E-6","0.4212683543028703","0.4071770764272795"
"27","200","6","5","small-world","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","200","1","0.3898002158912156","0.3898002158912156","0","2.8948160708470494E-8","0.3901090402349493","0.3893972618051737"
