"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"initial-trust-effect"
"11/02/2025 23:42:00:297 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size"
"51","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.40313569909134017","0"
"52","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.43562428050245827","0"
"49","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.48096023137555016","0"
"54","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4522452265026551","0"
"56","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4141361681733078","0"
"53","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.46702840063128165","0"
"58","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4690854528014983","0"
"57","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.48772096178282703","0"
"59","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4859180053833409","0"
"65","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5132721000048046","1"
"67","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6080866282966906","1"
"62","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6146459415693705","1"
"61","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5964814170113213","1"
"63","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5920015678414753","1"
"68","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5601630279319931","1"
"55","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4757573100524172","0"
"66","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6193029304151638","1"
"77","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.2631815215636561","0"
"60","200","6","5","small-world","true","0.2","0.1","0.65","0.15","3","10","false","200","false","500","500","1","0.4986937266870422","0.15"
"71","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6059670521827448","1"
"73","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5993502741803366","1"
"69","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.663069773566633","1"
"64","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6273821192896331","1"
"76","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.3148621995447047","0"
"75","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.5582521594681414","1"
"70","200","6","5","small-world","true","0.2","0.1","0.8","0.15","3","10","false","200","false","500","500","1","0.6537554830908614","1"
"84","200","6","5","small-world","false","0.2","0.1","0.2","0.15","3","10","false","200","false","500","500","1","0.229293320730341","0"
