"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"network-structure-effect"
"11/02/2025 23:41:21:910 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5]","variance [belief] of turtles"
"27","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3735969175703667","0","3.388758710339853E-29"
"34","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3947613520246101","0","1.8834819064427055E-28"
"30","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4613922248810395","0","4.096474283399478E-30"
"50","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3445534321475972","0","5.70976640681347E-6"
"40","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.43902631808290765","0","1.6418003215589218E-23"
"52","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36862754677936777","0","3.2558634815742386E-7"
"47","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.38317900657722376","0","6.671061676055838E-7"
"37","200","6","5","random","false","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.40287337468659135","0","1.628450224494788E-30"
"49","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33137248599169666","0","1.5877995713391696E-5"
"51","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.48073275332012","0","2.805822481205886E-10"
"53","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3971128401704212","0","6.225418001952522E-7"
"54","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4180166331478377","0","7.054997139951237E-6"
"55","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.36050008761598223","0","1.1503066520315439E-7"
"57","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.41690215110108825","0","1.562842982809767E-6"
