"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"heterogeneity-effect"
"11/02/2025 23:41:04:682 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","count turtles with [belief > 0.5] / population-size","ticks"
"43","200","6","5","small-world","true","0.15","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42363824273095796","0","500"
"53","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3887795513626482","0","500"
"51","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3591254950261081","0","500"
"52","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.4728090609073012","0","500"
"55","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.297946943309004","0","500"
"57","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3354367486459263","0","500"
"62","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3500752530661479","0","500"
"50","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.35036175840417244","0","500"
"61","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.30925043679858416","0","500"
"63","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.375394771645291","0","500"
"49","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3616292246560536","0","500"
"64","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.408504035119417","0","500"
"60","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.42870074014868964","0","500"
"59","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3722061634182257","0","500"
"66","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.33699069514060925","0","500"
"58","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3657474393187305","0","500"
"67","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3499102936973053","0","500"
"54","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3488458767113827","0","500"
"56","200","6","5","small-world","true","0.2","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37090067640875046","0","500"
"75","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3660635148434864","0","500"
"73","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3723383896136738","0","500"
"70","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.37684739003715156","0","500"
"76","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3632952534164437","0","500"
"71","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.31840856376409193","0","500"
"74","200","6","5","small-world","true","0.25","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3651472182884889","0","500"
"78","200","6","5","small-world","true","0.3","0.1","0.5","0.15","3","10","false","200","false","500","500","1","0.3077819701633317","0","500"
