"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"model.nlogo"
"full-factorial-analysis"
"11/02/2025 23:42:19:821 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","population-size","avg-degree","initial-seeds","network-type","rumor-is-true?","heterogeneity-level","learning-rate","initial-trust-mean","initial-trust-sd","hearing-threshold","trust-update-interval","verify-rumor?","verification-delay","show-trust-links?","max-ticks","[step]","count turtles with [rumor-known?] / population-size","mean [belief] of turtles","mean [belief] of turtles with [rumor-known?]","count turtles with [belief > 0.5] / population-size","variance [belief] of turtles"
"29","200","6","5","random","true","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.32504528554315876","0.32504528554315876","0","3.6553509162711284E-26"
"46","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3732253124123021","0.3732253124123021","0","5.552717336746282E-31"
"48","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3407610180749783","0.3407610180749783","0","1.6591530263281415E-25"
"32","200","6","5","random","true","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4428896238818776","0.4428896238818776","0","4.43006470584719E-31"
"36","200","6","5","random","true","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.44690987571055507","0.44690987571055507","0","4.350472505532414E-31"
"30","200","6","5","random","true","0.1","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3566633588589948","0.3566633588589948","0","9.746068335214499E-28"
"37","200","6","5","random","true","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4316866407310713","0.4316866407310713","0","3.332404645241493E-30"
"33","200","6","5","random","true","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4961683962555937","0.4961683962555937","0","2.596610368518291E-30"
"50","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.2526029267970088","0.2526029267970088","0","4.88130683361491E-19"
"40","200","6","5","random","true","0.1","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4664032337253587","0.4664032337253587","0","4.4565438230725347E-32"
"43","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.3270941262057426","0.3270941262057426","0","8.476823471883903E-25"
"49","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.2942122084916806","0.2942122084916806","0","8.927377255456781E-22"
"47","200","6","5","random","true","0.2","0.1","0.4","0.15","3","10","false","200","false","500","500","1","0.34604302003111653","0.34604302003111653","0","1.4976361566766188E-21"
"51","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.412901929563324","0.412901929563324","0","1.9443259626701067E-30"
"55","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.47670703350614924","0.47670703350614924","0","1.5120659876142697E-30"
"52","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.39291080692261515","0.39291080692261515","0","2.3951677743753073E-30"
"53","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4646868702171514","0.4646868702171514","0","2.86963948835295E-30"
"60","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4871045622696259","0.4871045622696259","0","1.9356079843087796E-30"
"61","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.31020349036072653","0.31020349036072653","0","1.262200150939479E-14"
"57","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.5248565268153425","0.5248565268153425","1","4.9551564398304764E-30"
"62","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3318993479380174","0.3318993479380174","0","5.69688724482339E-26"
"58","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.41040606962406945","0.41040606962406945","0","5.647329855019296E-32"
"59","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.4933316097553267","0.4933316097553267","0","2.4837721654650264E-32"
"64","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.31055474831739655","0.31055474831739655","0","3.538152084809511E-25"
"66","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.31376975009776087","0.31376975009776087","0","5.7535922610171685E-18"
"54","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.49204762432445803","0.49204762432445803","0","4.047588568147775E-30"
"70","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3220474442283777","0.3220474442283777","0","7.203777137960069E-26"
"56","200","6","5","random","true","0.2","0.1","0.6","0.15","3","10","false","200","false","500","500","1","0.567310035274136","0.567310035274136","1","9.181285488450894E-31"
"63","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3388471782657851","0.3388471782657851","0","6.4409049648129485E-15"
"68","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.32516133956089505","0.32516133956089505","0","4.472655512823793E-16"
"65","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3542889105484094","0.3542889105484094","0","6.604699488752934E-13"
"67","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.39184945109337016","0.39184945109337016","0","1.6867193027085033E-28"
"71","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.48418868425471046","0.48418868425471046","0","6.643256323698221E-23"
"69","200","6","5","random","true","0.2","0.2","0.4","0.15","3","10","false","200","false","500","500","1","0.3757726386766697","0.3757726386766697","0","2.8233384481661076E-15"
"73","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.41903564059781956","0.41903564059781956","0","9.995410800131222E-25"
"75","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.3695865848560069","0.3695865848560069","0","2.2858149509375003E-26"
"78","200","6","5","random","true","0.2","0.2","0.6","0.15","3","10","false","200","false","500","500","1","0.4416262690271495","0.4416262690271495","0","8.220139987762526E-31"
